Date,Description,Debit,Credit,Balance
2026-01-01,Opening Balance,,0,12500
2026-01-03,SALARY COMPANY PAYROLL,,9800,22300
2026-01-04,RENT PAYMENT OAK RESIDENCE,3200,,19100
2026-01-05,CARREFOUR GROCERY,418.25,,18681.75
2026-01-07,UBER TRIP RIYADH,43.50,,18638.25
2026-01-10,STC TELECOM BILL,255,,18383.25
2026-01-12,AMAZON MARKETPLACE,389.90,,17993.35
2026-01-13,COFFEE HOUSE,28,,17965.35
2026-01-15,SAVINGS TRANSFER,1500,,16465.35
2026-01-18,MEDICAL CLINIC,620,,15845.35
2026-01-21,RESTAURANT DINNER,187.40,,15657.95
2026-01-25,ATM CASH WITHDRAWAL,500,,15157.95
2026-02-01,SALARY COMPANY PAYROLL,,9800,24957.95
2026-02-03,RENT PAYMENT OAK RESIDENCE,3200,,21757.95
2026-02-05,CARREFOUR GROCERY,443.10,,21314.85
2026-02-06,NOON ONLINE STORE,768.20,,20546.65
2026-02-08,UBER TRIP RIYADH,39.75,,20506.90
2026-02-10,STC TELECOM BILL,255,,20251.90
2026-02-12,FLIGHT BOOKING,2140,,18111.90
2026-02-15,SAVINGS TRANSFER,1500,,16611.90
2026-02-18,PHARMACY PURCHASE,132.50,,16479.40
2026-02-23,RESTAURANT DINNER,215.70,,16263.70
2026-03-01,SALARY COMPANY PAYROLL,,9800,26063.70
2026-03-03,RENT PAYMENT OAK RESIDENCE,3200,,22863.70
2026-03-04,CARREFOUR GROCERY,401.35,,22462.35
2026-03-05,APPLE.COM SUBSCRIPTION,39.99,,22422.36
2026-03-06,NETFLIX SUBSCRIPTION,59.99,,22362.37
2026-03-08,UBER TRIP RIYADH,52.25,,22310.12
2026-03-10,STC TELECOM BILL,255,,22055.12
2026-03-14,ELECTRONICS STORE,3290,,18765.12
2026-03-15,SAVINGS TRANSFER,1500,,17265.12
2026-03-18,RESTAURANT DINNER,198.60,,17066.52
2026-03-22,ATM CASH WITHDRAWAL,700,,16366.52
